X,Y,Z,C2M_distances,C2M_min_max
-40.41696167,-15.49711227,20.65865898,13.303122,
-41.43731689,-15.50040436,20.77655029,14.263653,
41.44049072,-16.50001526,20.77875328,14.634724,
40.42234421,-16.49595833,20.66898537,13.68815,
39.41669846,-16.49134827,20.53263283,12.752062,
38.41853333,-16.48706245,20.37966919,11.823207,
37.42307281,-16.48407745,20.21360397,10.898375,
36.43106079,-16.48085213,20.03607559,9.985795,
35.4405632,-16.4801693,19.84799767,9.093633,
34.45142746,-16.47963333,19.64893532,8.210316,
33.46437454,-16.48197556,19.43902779,7.337859,
32.47780228,-16.48534584,19.21699715,6.478338,
31.49364853,-16.49167824,18.98250198,5.642898,
30.50999641,-16.49995422,18.73377419,4.861845,
29.52806282,-16.51247787,18.46935654,4.138403,
28.54950714,-16.52742958,18.18947601,3.503946,
27.57164955,-16.54973412,17.89276505,2.947504,
26.59450912,-16.57403755,17.57387161,2.426842,
25.61913681,-16.60729218,17.23176956,1.928803,
24.64473724,-16.64780617,16.85815811,1.451527,
23.68224716,-16.70599556,16.46462059,1.015171,
22.71072006,-16.77653503,16.04480553,0.609179,
21.7275238,-16.85611725,15.55262566,0.241126,
20.76635933,-16.92773628,14.99312305,-0.061478,
19.78779602,-17.03253365,14.34329796,-0.294227,
18.8262825,-17.17180634,13.63023186,-0.454562,
17.83588219,-17.29132462,12.78186321,-0.540794,
16.85682487,-17.47402,11.95672607,-0.586011,
15.80116558,-17.54110527,11.03962231,-0.661225,
14.63364506,-17.59378624,10.11604309,-0.766275,
13.56529331,-17.50840759,9.2085743,-0.83626,
12.35543919,-17.43734741,8.27570152,-0.855808,
11.26574993,-17.32117653,7.46296501,-0.848454,
10.17476463,-17.2432003,6.76593208,-0.805033,
9.19967461,-17.12381172,6.26230621,-0.835807,
8.05761719,-16.99564743,5.69437218,-0.815794,
7.10812616,-17.03812599,5.35046577,-0.776401,
6.07373571,-17.00985909,5.02106667,-0.749119,
5.09149599,-16.91979218,4.7148819,-0.736415,
4.04950142,-16.94501686,4.5638504,-0.762842,
3.06495023,-16.87346268,4.36537361,-0.744497,
2.03301072,-16.88233757,4.27796745,-0.750183,
1.0059756,-16.86343956,4.18838692,-0.735454,
0.07458052,-16.74111557,4.11782837,-0.760008,
-1.04022443,-16.71876717,4.1300354,-0.764399,
-2.0250473,-16.79879379,4.18943977,-0.72342,
-3.0144372,-16.73280907,4.28312111,-0.758941,
-4.079422,-16.64047241,4.37326813,-0.76388,
-5.06496286,-16.59254074,4.50940323,-0.760716,
-6.11682701,-16.53902626,4.72380447,-0.766602,
-7.15040731,-16.60529137,5.03373814,-0.74663,
-8.14488506,-16.54127693,5.34620857,-0.782065,
-9.23557472,-16.47302818,5.71265411,-0.779673,
-10.22077179,-16.47030067,6.16847992,-0.806515,
-11.27683353,-16.47300148,6.78632259,-0.858112,
-12.3455801,-16.58524895,7.53360176,-0.882939,
-13.42094803,-16.62097359,8.26774025,-0.863002,
-14.49040985,-16.72143936,9.17865944,-0.830812,
-15.50510311,-16.77980232,10.0758791,-0.775182,
-16.50992012,-16.80931473,11.01734161,-0.691507,
-17.45282936,-16.88546944,11.97056484,-0.588546,
-18.3367424,-16.79883766,12.78861332,-0.520485,
-19.21323204,-16.71961403,13.60597134,-0.452416,
-20.0957737,-16.67611885,14.35085106,-0.296165,
-20.99627113,-16.64426231,15.00193024,-0.064496,
-21.92713547,-16.62610817,15.56307888,0.250414,
-22.85965347,-16.60370064,16.03260803,0.628071,
-23.79026604,-16.56391907,16.45161057,1.026401,
-24.73622894,-16.54353142,16.8470192,1.471748,
-25.69071198,-16.5318737,17.21170425,1.953618,
-26.64799309,-16.51809692,17.54849243,2.451264,
-27.61232948,-16.50820541,17.86528969,2.974404,
-28.57989311,-16.49783897,18.16227531,3.528257,
-29.55290604,-16.4916954,18.44273567,4.158918,
-30.52901649,-16.48639107,18.70653152,4.878559,
-31.50724411,-16.48327827,18.95573997,5.655877,
-32.48843002,-16.48075104,19.19190407,6.488903,
-33.47140884,-16.480196,19.41583443,7.345197,
-34.45627594,-16.48022842,19.6285038,8.21583,
